method,k,alpha,beta,vocab_size,avg_real_kmers,alpha_pseudo_mass,alpha_pseudo_real_ratio,silhouette_score,mean_functional_silhouette,mean_pathological_silhouette,mean_within_class_distance,mean_between_class_distance,within_between_ratio,dunn_index,nearest_neighbor_accuracy,matrix_file
SIWKL,15,0.1,0.0001,199251,227870.9,19925.100000000002,0.08744030062636345,0.04321717569853258,-0.006252251912272973,0.09268660330933813,0.010558818982028406,0.011035727991426719,0.9567849978026998,0.9075866747429653,1.0,SIWKL_matrix_k15_alpha0p1_beta0p0001.txt
SIWKL,15,0.1,1e-06,199251,227870.9,19925.100000000002,0.08744030062636345,0.04321704153864236,-0.006252246128468322,0.09268632920575304,0.010558792273432812,0.01103569852972891,0.9567851319052104,0.9075868259587888,1.0,SIWKL_matrix_k15_alpha0p1_beta1em06.txt
SIWKL,15,0.01,1.0,199251,227870.9,1992.51,0.008744030062636344,0.04406688229390676,-0.0026372854016323546,0.09077104998944588,0.022142338642232664,0.023163540166566268,0.9559134088748842,0.9074354342973248,1.0,SIWKL_matrix_k15_alpha0p01_beta1p0.txt
SIWKL,15,0.01,0.1,199251,227870.9,1992.51,0.008744030062636344,0.04329500393312905,-0.0026310810576597246,0.08922108892391782,0.021816446737337465,0.022804203054384086,0.9566853393345519,0.9083601049293264,1.0,SIWKL_matrix_k15_alpha0p01_beta0p1.txt
SIWKL,15,0.01,0.01,199251,227870.9,1992.51,0.008744030062636344,0.04317939682511272,-0.00263692615239782,0.08899571980262329,0.021769461639704505,0.022752340565259082,0.9568009751464712,0.90848940903197,1.0,SIWKL_matrix_k15_alpha0p01_beta0p01.txt
SIWKL,15,0.01,0.001,199251,227870.9,1992.51,0.008744030062636344,0.0431672151684536,-0.00263762397195601,0.08897205430886321,0.02176453479851244,0.022746901596511097,0.9568131600767406,0.9085029204602852,1.0,SIWKL_matrix_k15_alpha0p01_beta0p001.txt
SIWKL,15,0.01,0.0001,199251,227870.9,1992.51,0.008744030062636344,0.04316599038996177,-0.0026376949705989015,0.08896967575052246,0.021764039688720004,0.022746355014790408,0.9568143851869159,0.9085042777737025,1.0,SIWKL_matrix_k15_alpha0p01_beta0p0001.txt
SIWKL,15,0.01,1e-06,199251,227870.9,1992.51,0.008744030062636344,0.04316585559044433,-0.0026377027940547595,0.08896941397494343,0.021763985199548412,0.02274629486081168,0.9568145200229672,0.9085044271471001,1.0,SIWKL_matrix_k15_alpha0p01_beta1em06.txt
SIWKL,15,0.001,1.0,199251,227870.9,199.251,0.0008744030062636344,0.04405231995315552,-0.0011568928039198843,0.08926153271023093,0.03331818341122329,0.0348545018608195,0.9559219507502642,0.9078362929742692,1.0,SIWKL_matrix_k15_alpha0p001_beta1p0.txt
SIWKL,15,0.001,0.1,199251,227870.9,199.251,0.0008744030062636344,0.04327891284955976,-0.0011845493877083249,0.08774237508682783,0.032829899810673836,0.034315931571390325,0.9566955727946662,0.9087562135073938,1.0,SIWKL_matrix_k15_alpha0p001_beta0p1.txt
SIWKL,15,0.001,0.01,199251,227870.9,199.251,0.0008744030062636344,0.04316306697526326,-0.0011951382794091595,0.08752127222993568,0.03275948643075932,0.03423818350581112,0.9568114624188276,0.9088847888830297,1.0,SIWKL_matrix_k15_alpha0p001_beta0p01.txt
SIWKL,15,0.001,0.001,199251,227870.9,199.251,0.0008744030062636344,0.043150860064133406,-0.0011963321179738113,0.08749805224624062,0.03275210272259532,0.03423002963854989,0.9568236740791447,0.9088982233224864,1.0,SIWKL_matrix_k15_alpha0p001_beta0p001.txt
SIWKL,15,0.001,0.0001,199251,227870.9,199.251,0.0008744030062636344,0.0431496327455434,-0.0011964529486287565,0.08749571843971556,0.03275136071460336,0.03422921022474107,0.9568249018766577,0.908899572893156,1.0,SIWKL_matrix_k15_alpha0p001_beta0p0001.txt
SIWKL,15,0.001,1e-06,199251,227870.9,199.251,0.0008744030062636344,0.04314949766645156,-0.0011964662561765003,0.08749546158907964,0.032751279053097486,0.034229120044239995,0.9568250370084755,0.9088997214143624,1.0,SIWKL_matrix_k15_alpha0p001_beta1em06.txt
SIWKL,15,0.0001,1.0,199251,227870.9,19.9251,8.744030062636345e-05,0.04404560641676926,-0.00039804556317525705,0.08848925839671377,0.044392640863498194,0.0464393999962541,0.9559262364948513,0.9080439779306883,1.0,SIWKL_matrix_k15_alpha0p0001_beta1p0.txt
SIWKL,15,0.0001,0.1,199251,227870.9,19.9251,8.744030062636345e-05,0.043271385834970796,-0.0004431499864274841,0.08698592165636906,0.04374348691785678,0.045723271377522856,0.9567007259100162,0.908961396849763,1.0,SIWKL_matrix_k15_alpha0p0001_beta0p1.txt
SIWKL,15,0.0001,0.01,199251,227870.9,19.9251,8.744030062636345e-05,0.043155413488912046,-0.00045618310249566265,0.08676701008031976,0.043649864399573086,0.0456198792493775,0.9568167456332911,0.9090895894857723,1.0,SIWKL_matrix_k15_alpha0p0001_beta0p01.txt
SIWKL,15,0.0001,0.001,199251,227870.9,19.9251,8.744030062636345e-05,0.04314319320708205,-0.0004576325104129721,0.08674401892457707,0.0436400468014743,0.045609035809317036,0.9568289709943724,0.9091029835014313,1.0,SIWKL_matrix_k15_alpha0p0001_beta0p001.txt
SIWKL,15,0.0001,0.0001,199251,227870.9,19.9251,8.744030062636345e-05,0.04314196454372888,-0.00045777901653762376,0.08674170810399538,0.04363906020427531,0.04560794610846708,0.9568302001693024,0.9091043290068141,1.0,SIWKL_matrix_k15_alpha0p0001_beta0p0001.txt
SIWKL,15,0.0001,1e-06,199251,227870.9,19.9251,8.744030062636345e-05,0.04314182931662711,-0.00045779514971123385,0.08674145378296545,0.04363895162455046,0.045607826181538164,0.956830335452719,0.9091044770805823,1.0,SIWKL_matrix_k15_alpha0p0001_beta1em06.txt
SIWKL,15,1e-06,1.0,199251,227870.9,0.19925099999999998,8.744030062636343e-07,0.044039315895956443,0.0003656067124589564,0.08771302507945393,0.06650286531125624,0.0695687218476868,0.9559305323570135,0.9082531763660737,1.0,SIWKL_matrix_k15_alpha1em06_beta1p0.txt
SIWKL,15,1e-06,0.1,199251,227870.9,0.19925099999999998,8.744030062636343e-07,0.04326425743179281,0.00030287728043679543,0.08622563758314883,0.06553254302067998,0.06849810736990967,0.9567058935918509,0.9091680584520319,1.0,SIWKL_matrix_k15_alpha1em06_beta0p1.txt
SIWKL,15,1e-06,0.01,199251,227870.9,0.19925099999999998,8.744030062636343e-07,0.043148155177568336,0.00028737538929606856,0.08600893496584061,0.06539258472601697,0.06834351814033345,0.9568220440707024,0.9092958632838003,1.0,SIWKL_matrix_k15_alpha1em06_beta0p01.txt
SIWKL,15,1e-06,0.001,199251,227870.9,0.19925099999999998,8.744030062636343e-07,0.04313592116564717,0.00028566784879266156,0.08598617448250168,0.06537790799880658,0.06832730510037173,0.9568342832015322,0.9093092163445625,1.0,SIWKL_matrix_k15_alpha1em06_beta0p001.txt
SIWKL,15,1e-06,0.0001,199251,227870.9,0.19925099999999998,8.744030062636343e-07,0.04313469112142434,0.0002854954097255369,0.08598388683312315,0.06537643309252641,0.06832567578471903,0.9568355137608137,0.9093105577312857,1.0,SIWKL_matrix_k15_alpha1em06_beta0p0001.txt
