method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,0.1,True,sample08.pathological.fa,pathological,0.03205371,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,0.1,True,sample09.pathological.fa,pathological,0.02782439,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,0.1,True,sample10.pathological.fa,pathological,0.02536303,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,1.0,True,sample01.functional.fa,functional,-0.00256609,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,1.0,True,sample02.functional.fa,functional,-0.00549377,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,1.0,True,sample03.functional.fa,functional,-0.00367621,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,1.0,True,sample04.functional.fa,functional,0.00334256,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,1.0,True,sample05.functional.fa,functional,-0.00093279,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,1.0,True,sample06.pathological.fa,pathological,0.03775717,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,1.0,True,sample07.pathological.fa,pathological,0.04101999,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,1.0,True,sample08.pathological.fa,pathological,0.04179576,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,1.0,True,sample09.pathological.fa,pathological,0.03827321,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,1.0,True,sample10.pathological.fa,pathological,0.03446689,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.001,True,sample01.functional.fa,functional,-0.00711125,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.001,True,sample02.functional.fa,functional,-0.01040102,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.001,True,sample03.functional.fa,functional,-0.00784836,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.001,True,sample04.functional.fa,functional,-0.00203287,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.001,True,sample05.functional.fa,functional,-0.00456955,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.001,True,sample06.pathological.fa,pathological,0.02902470,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.001,True,sample07.pathological.fa,pathological,0.03116750,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.001,True,sample08.pathological.fa,pathological,0.03208952,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.001,True,sample09.pathological.fa,pathological,0.02769362,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.001,True,sample10.pathological.fa,pathological,0.02563835,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.01,True,sample01.functional.fa,functional,-0.00707615,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.01,True,sample02.functional.fa,functional,-0.01036586,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.01,True,sample03.functional.fa,functional,-0.00782145,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.01,True,sample04.functional.fa,functional,-0.00199396,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.01,True,sample05.functional.fa,functional,-0.00455154,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.01,True,sample06.pathological.fa,pathological,0.02914115,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.01,True,sample07.pathological.fa,pathological,0.03129940,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.01,True,sample08.pathological.fa,pathological,0.03221817,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.01,True,sample09.pathological.fa,pathological,0.02782922,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.01,True,sample10.pathological.fa,pathological,0.02575970,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.1,True,sample01.functional.fa,functional,-0.00673800,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.1,True,sample02.functional.fa,functional,-0.01002589,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.1,True,sample03.functional.fa,functional,-0.00756238,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.1,True,sample04.functional.fa,functional,-0.00161687,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.1,True,sample05.functional.fa,functional,-0.00437754,possibly_misplaced
