method,weight_function,capped_weight,k,alpha,beta,sample,class,silhouette_value
SIWKL_inverse_G,1/G,True,21,0.01,1.0,sample03.functional,functional,-0.04015599545513851
SIWKL_inverse_G,1/G,True,21,0.01,1.0,sample04.functional,functional,-0.03541717194818727
SIWKL_inverse_G,1/G,True,21,0.01,1.0,sample05.functional,functional,-0.040311576025376605
SIWKL_inverse_G,1/G,True,21,0.01,1.0,sample06.pathological,pathological,0.0817345296823252
SIWKL_inverse_G,1/G,True,21,0.01,1.0,sample07.pathological,pathological,0.08557838748918616
SIWKL_inverse_G,1/G,True,21,0.01,1.0,sample08.pathological,pathological,0.08321133391345442
SIWKL_inverse_G,1/G,True,21,0.01,1.0,sample09.pathological,pathological,0.08352768125741065
SIWKL_inverse_G,1/G,True,21,0.01,1.0,sample10.pathological,pathological,0.08216639348306251
SIWKL_inverse_G,1/G,True,21,0.001,1.0,sample01.functional,functional,-0.03679587571030907
SIWKL_inverse_G,1/G,True,21,0.001,1.0,sample02.functional,functional,-0.036520625676204156
SIWKL_inverse_G,1/G,True,21,0.001,1.0,sample03.functional,functional,-0.03999097019436808
SIWKL_inverse_G,1/G,True,21,0.001,1.0,sample04.functional,functional,-0.035237570486559386
SIWKL_inverse_G,1/G,True,21,0.001,1.0,sample05.functional,functional,-0.040106825521859776
SIWKL_inverse_G,1/G,True,21,0.001,1.0,sample06.pathological,pathological,0.08154664214416087
SIWKL_inverse_G,1/G,True,21,0.001,1.0,sample07.pathological,pathological,0.08537169019732746
SIWKL_inverse_G,1/G,True,21,0.001,1.0,sample08.pathological,pathological,0.08301013145372088
SIWKL_inverse_G,1/G,True,21,0.001,1.0,sample09.pathological,pathological,0.08334572842539743
SIWKL_inverse_G,1/G,True,21,0.001,1.0,sample10.pathological,pathological,0.08194823846184876
SIWKL_inverse_G,1/G,True,21,0.0001,1.0,sample01.functional,functional,-0.03674172666313849
SIWKL_inverse_G,1/G,True,21,0.0001,1.0,sample02.functional,functional,-0.03642179640302003
SIWKL_inverse_G,1/G,True,21,0.0001,1.0,sample03.functional,functional,-0.03990651157052956
SIWKL_inverse_G,1/G,True,21,0.0001,1.0,sample04.functional,functional,-0.03514569813007934
SIWKL_inverse_G,1/G,True,21,0.0001,1.0,sample05.functional,functional,-0.04000214650052778
SIWKL_inverse_G,1/G,True,21,0.0001,1.0,sample06.pathological,pathological,0.08145056065525128
SIWKL_inverse_G,1/G,True,21,0.0001,1.0,sample07.pathological,pathological,0.08526600034342503
SIWKL_inverse_G,1/G,True,21,0.0001,1.0,sample08.pathological,pathological,0.08290726788065765
SIWKL_inverse_G,1/G,True,21,0.0001,1.0,sample09.pathological,pathological,0.08325276828674019
SIWKL_inverse_G,1/G,True,21,0.0001,1.0,sample10.pathological,pathological,0.08183668814622015
SIWKL_inverse_G,1/G,True,21,1e-06,1.0,sample01.functional,functional,-0.036687390835705956
SIWKL_inverse_G,1/G,True,21,1e-06,1.0,sample02.functional,functional,-0.036322641504738566
SIWKL_inverse_G,1/G,True,21,1e-06,1.0,sample03.functional,functional,-0.03982176421489326
SIWKL_inverse_G,1/G,True,21,1e-06,1.0,sample04.functional,functional,-0.035053522069978596
SIWKL_inverse_G,1/G,True,21,1e-06,1.0,sample05.functional,functional,-0.03989713863089877
SIWKL_inverse_G,1/G,True,21,1e-06,1.0,sample06.pathological,pathological,0.08135417548158293
SIWKL_inverse_G,1/G,True,21,1e-06,1.0,sample07.pathological,pathological,0.08515998042851518
SIWKL_inverse_G,1/G,True,21,1e-06,1.0,sample08.pathological,pathological,0.0828040868525788
SIWKL_inverse_G,1/G,True,21,1e-06,1.0,sample09.pathological,pathological,0.08315953642676023
SIWKL_inverse_G,1/G,True,21,1e-06,1.0,sample10.pathological,pathological,0.08172478305547742
SIWKL_inverse_G,1/G,True,31,1.0,1.0,sample01.functional,functional,-0.05866639921333571
SIWKL_inverse_G,1/G,True,31,1.0,1.0,sample02.functional,functional,-0.05855458452894937
SIWKL_inverse_G,1/G,True,31,1.0,1.0,sample03.functional,functional,-0.0601790714234989
SIWKL_inverse_G,1/G,True,31,1.0,1.0,sample04.functional,functional,-0.05772713461813451
SIWKL_inverse_G,1/G,True,31,1.0,1.0,sample05.functional,functional,-0.06565709276888501
SIWKL_inverse_G,1/G,True,31,1.0,1.0,sample06.pathological,pathological,0.11637668194275327
SIWKL_inverse_G,1/G,True,31,1.0,1.0,sample07.pathological,pathological,0.11924855512018141
SIWKL_inverse_G,1/G,True,31,1.0,1.0,sample08.pathological,pathological,0.1163121895049844
SIWKL_inverse_G,1/G,True,31,1.0,1.0,sample09.pathological,pathological,0.11969422307363943
SIWKL_inverse_G,1/G,True,31,1.0,1.0,sample10.pathological,pathological,0.12085784039969498
SIWKL_inverse_G,1/G,True,31,0.1,1.0,sample01.functional,functional,-0.05824076743143619
SIWKL_inverse_G,1/G,True,31,0.1,1.0,sample02.functional,functional,-0.05801900182504064
SIWKL_inverse_G,1/G,True,31,0.1,1.0,sample03.functional,functional,-0.05981109634683539
SIWKL_inverse_G,1/G,True,31,0.1,1.0,sample04.functional,functional,-0.05725353207915688
SIWKL_inverse_G,1/G,True,31,0.1,1.0,sample05.functional,functional,-0.06511631495159273
SIWKL_inverse_G,1/G,True,31,0.1,1.0,sample06.pathological,pathological,0.11573952005630919
SIWKL_inverse_G,1/G,True,31,0.1,1.0,sample07.pathological,pathological,0.11859617663687809
SIWKL_inverse_G,1/G,True,31,0.1,1.0,sample08.pathological,pathological,0.11563659870495605
SIWKL_inverse_G,1/G,True,31,0.1,1.0,sample09.pathological,pathological,0.11897821747371123
SIWKL_inverse_G,1/G,True,31,0.1,1.0,sample10.pathological,pathological,0.12012113359732045
SIWKL_inverse_G,1/G,True,31,0.01,1.0,sample01.functional,functional,-0.05808753879948959
SIWKL_inverse_G,1/G,True,31,0.01,1.0,sample02.functional,functional,-0.05782171761485022
SIWKL_inverse_G,1/G,True,31,0.01,1.0,sample03.functional,functional,-0.05967515839343495
SIWKL_inverse_G,1/G,True,31,0.01,1.0,sample04.functional,functional,-0.05707710314039891
SIWKL_inverse_G,1/G,True,31,0.01,1.0,sample05.functional,functional,-0.06491710798516324
SIWKL_inverse_G,1/G,True,31,0.01,1.0,sample06.pathological,pathological,0.11550372381218707
SIWKL_inverse_G,1/G,True,31,0.01,1.0,sample07.pathological,pathological,0.1183552132082328
SIWKL_inverse_G,1/G,True,31,0.01,1.0,sample08.pathological,pathological,0.11538721567249034
