method,k,alpha,beta,sample,class,silhouette_value
SIWKL,15,0.0001,1e-06,sample06.pathological,pathological,0.08366055143010676
SIWKL,15,0.0001,1e-06,sample07.pathological,pathological,0.08934063823753609
SIWKL,15,0.0001,1e-06,sample08.pathological,pathological,0.08971293314232733
SIWKL,15,0.0001,1e-06,sample09.pathological,pathological,0.0905925783384741
SIWKL,15,0.0001,1e-06,sample10.pathological,pathological,0.08040056776638302
SIWKL,15,1e-06,1.0,sample01.functional,functional,-0.0005955710920059163
SIWKL,15,1e-06,1.0,sample02.functional,functional,-0.002443611848812999
SIWKL,15,1e-06,1.0,sample03.functional,functional,-0.004147849922757543
SIWKL,15,1e-06,1.0,sample04.functional,functional,0.009030546723388029
SIWKL,15,1e-06,1.0,sample05.functional,functional,-1.5480297516788482e-05
SIWKL,15,1e-06,1.0,sample06.pathological,pathological,0.08457849207669003
SIWKL,15,1e-06,1.0,sample07.pathological,pathological,0.0902882885104907
SIWKL,15,1e-06,1.0,sample08.pathological,pathological,0.09070233157678768
SIWKL,15,1e-06,1.0,sample09.pathological,pathological,0.09178891831532811
SIWKL,15,1e-06,1.0,sample10.pathological,pathological,0.08120709491797314
SIWKL,15,1e-06,0.1,sample01.functional,functional,-0.0006578578162706471
SIWKL,15,1e-06,0.1,sample02.functional,functional,-0.0025328002884147834
SIWKL,15,1e-06,0.1,sample03.functional,functional,-0.004132190975294156
SIWKL,15,1e-06,0.1,sample04.functional,functional,0.008867629641524218
SIWKL,15,1e-06,0.1,sample05.functional,functional,-3.0394159360654e-05
SIWKL,15,1e-06,0.1,sample06.pathological,pathological,0.0831696566663891
SIWKL,15,1e-06,0.1,sample07.pathological,pathological,0.08878391754964475
SIWKL,15,1e-06,0.1,sample08.pathological,pathological,0.08920387981214369
SIWKL,15,1e-06,0.1,sample09.pathological,pathological,0.09017348075050569
SIWKL,15,1e-06,0.1,sample10.pathological,pathological,0.07979725313706094
SIWKL,15,1e-06,0.01,sample01.functional,functional,-0.0006736435935675636
SIWKL,15,1e-06,0.01,sample02.functional,functional,-0.0025525366811715742
SIWKL,15,1e-06,0.01,sample03.functional,functional,-0.00413670926451462
SIWKL,15,1e-06,0.01,sample04.functional,functional,0.008837445251631227
SIWKL,15,1e-06,0.01,sample05.functional,functional,-3.767876589712648e-05
SIWKL,15,1e-06,0.01,sample06.pathological,pathological,0.08296506858817157
SIWKL,15,1e-06,0.01,sample07.pathological,pathological,0.08856417871177508
SIWKL,15,1e-06,0.01,sample08.pathological,pathological,0.0889851162906094
SIWKL,15,1e-06,0.01,sample09.pathological,pathological,0.08993805536276635
SIWKL,15,1e-06,0.01,sample10.pathological,pathological,0.07959225587588067
