method,k,alpha,beta,sample,class,silhouette_value
SIWKL,31,1.0,1.0,sample08.pathological,pathological,0.19781145231577874
SIWKL,31,1.0,1.0,sample09.pathological,pathological,0.2047839852906272
SIWKL,31,1.0,1.0,sample10.pathological,pathological,0.20208888862783955
SIWKL,31,0.1,1.0,sample01.functional,functional,-0.07016130210059922
SIWKL,31,0.1,1.0,sample02.functional,functional,-0.06741291614157664
SIWKL,31,0.1,1.0,sample03.functional,functional,-0.06801794105617245
SIWKL,31,0.1,1.0,sample04.functional,functional,-0.06538191740994946
SIWKL,31,0.1,1.0,sample05.functional,functional,-0.07873414590703785
SIWKL,31,0.1,1.0,sample06.pathological,pathological,0.1898070653581194
SIWKL,31,0.1,1.0,sample07.pathological,pathological,0.19525068589646302
SIWKL,31,0.1,1.0,sample08.pathological,pathological,0.19517064602391282
SIWKL,31,0.1,1.0,sample09.pathological,pathological,0.20199438668858916
SIWKL,31,0.1,1.0,sample10.pathological,pathological,0.1992920597954837
SIWKL,31,0.01,1.0,sample01.functional,functional,-0.0693328692752819
SIWKL,31,0.01,1.0,sample02.functional,functional,-0.06669558499262805
SIWKL,31,0.01,1.0,sample03.functional,functional,-0.06762481695541973
SIWKL,31,0.01,1.0,sample04.functional,functional,-0.06477927295079677
SIWKL,31,0.01,1.0,sample05.functional,functional,-0.07801065620861819
SIWKL,31,0.01,1.0,sample06.pathological,pathological,0.18891765859953577
SIWKL,31,0.01,1.0,sample07.pathological,pathological,0.1943502892748019
SIWKL,31,0.01,1.0,sample08.pathological,pathological,0.19424190888616102
SIWKL,31,0.01,1.0,sample09.pathological,pathological,0.201006799947644
SIWKL,31,0.01,1.0,sample10.pathological,pathological,0.1982981009180823
SIWKL,31,0.001,1.0,sample01.functional,functional,-0.06900278073227625
SIWKL,31,0.001,1.0,sample02.functional,functional,-0.06640916476291038
SIWKL,31,0.001,1.0,sample03.functional,functional,-0.06746839791633001
SIWKL,31,0.001,1.0,sample04.functional,functional,-0.0645372940806524
SIWKL,31,0.001,1.0,sample05.functional,functional,-0.0777214186334933
SIWKL,31,0.001,1.0,sample06.pathological,pathological,0.18856152966145323
SIWKL,31,0.001,1.0,sample07.pathological,pathological,0.1939899079576884
SIWKL,31,0.001,1.0,sample08.pathological,pathological,0.19387022673652854
SIWKL,31,0.001,1.0,sample09.pathological,pathological,0.2006112694435197
SIWKL,31,0.001,1.0,sample10.pathological,pathological,0.1978993417772348
SIWKL,31,0.0001,1.0,sample01.functional,functional,-0.06883411690585774
SIWKL,31,0.0001,1.0,sample02.functional,functional,-0.06626276659065435
SIWKL,31,0.0001,1.0,sample03.functional,functional,-0.0673884506785834
SIWKL,31,0.0001,1.0,sample04.functional,functional,-0.0644134937837449
SIWKL,31,0.0001,1.0,sample05.functional,functional,-0.0775735696448938
SIWKL,31,0.0001,1.0,sample06.pathological,pathological,0.1883794599376678
SIWKL,31,0.0001,1.0,sample07.pathological,pathological,0.19380569149855575
SIWKL,31,0.0001,1.0,sample08.pathological,pathological,0.19368023887571448
SIWKL,31,0.0001,1.0,sample09.pathological,pathological,0.20040908235125157
SIWKL,31,0.0001,1.0,sample10.pathological,pathological,0.19769539128350785
SIWKL,31,1e-06,1.0,sample01.functional,functional,-0.0686648877100901
SIWKL,31,1e-06,1.0,sample02.functional,functional,-0.06611585882481959
SIWKL,31,1e-06,1.0,sample03.functional,functional,-0.0673082055053105
SIWKL,31,1e-06,1.0,sample04.functional,functional,-0.0642892398865674
SIWKL,31,1e-06,1.0,sample05.functional,functional,-0.07742521047333815
SIWKL,31,1e-06,1.0,sample06.pathological,pathological,0.1881967918482195
SIWKL,31,1e-06,1.0,sample07.pathological,pathological,0.19362087620949858
SIWKL,31,1e-06,1.0,sample08.pathological,pathological,0.19348963237139266
SIWKL,31,1e-06,1.0,sample09.pathological,pathological,0.20020623446614286
SIWKL,31,1e-06,1.0,sample10.pathological,pathological,0.19749072632269032
SIWKL,41,1.0,1.0,sample01.functional,functional,-0.08445773561441074
SIWKL,41,1.0,1.0,sample02.functional,functional,-0.07914553004318665
SIWKL,41,1.0,1.0,sample03.functional,functional,-0.07769547495222867
SIWKL,41,1.0,1.0,sample04.functional,functional,-0.07642193611837578
SIWKL,41,1.0,1.0,sample05.functional,functional,-0.0915183650699939
SIWKL,41,1.0,1.0,sample06.pathological,pathological,0.21493607560960923
SIWKL,41,1.0,1.0,sample07.pathological,pathological,0.21876016796696776
SIWKL,41,1.0,1.0,sample08.pathological,pathological,0.21987567744492445
SIWKL,41,1.0,1.0,sample09.pathological,pathological,0.2290621736419431
SIWKL,41,1.0,1.0,sample10.pathological,pathological,0.22759332922814052
SIWKL,41,0.1,1.0,sample01.functional,functional,-0.08356991625301328
SIWKL,41,0.1,1.0,sample02.functional,functional,-0.07833295625005815
SIWKL,41,0.1,1.0,sample03.functional,functional,-0.0773787470625155
SIWKL,41,0.1,1.0,sample04.functional,functional,-0.07598697741077508
SIWKL,41,0.1,1.0,sample05.functional,functional,-0.0906996931574149
SIWKL,41,0.1,1.0,sample06.pathological,pathological,0.21428306486206028
SIWKL,41,0.1,1.0,sample07.pathological,pathological,0.21809518084701873
SIWKL,41,0.1,1.0,sample08.pathological,pathological,0.21919219813673976
SIWKL,41,0.1,1.0,sample09.pathological,pathological,0.2283996578623307
SIWKL,41,0.1,1.0,sample10.pathological,pathological,0.2269473822096938
SIWKL,41,0.01,1.0,sample01.functional,functional,-0.08324649812500444
SIWKL,41,0.01,1.0,sample02.functional,functional,-0.07803904632399539
SIWKL,41,0.01,1.0,sample03.functional,functional,-0.07726185164509808
SIWKL,41,0.01,1.0,sample04.functional,functional,-0.07582766229786911
SIWKL,41,0.01,1.0,sample05.functional,functional,-0.09040200998834891
SIWKL,41,0.01,1.0,sample06.pathological,pathological,0.21404493049799406
SIWKL,41,0.01,1.0,sample07.pathological,pathological,0.21785316634816854
